2022-05-24T18:40:50.472486307Z .:5353
2022-05-24T18:40:50.472619666Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:50.472654510Z CoreDNS-1.8.7
2022-05-24T18:40:50.472654510Z linux/amd64, go1.17.5, 
2022-05-24T20:33:07.805314203Z [INFO] 10.128.0.75:36887 - 1637 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000340217s
2022-05-24T20:33:09.002519479Z [INFO] 10.128.0.75:40056 - 14595 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000315028s
2022-05-24T20:33:09.602181132Z [INFO] 10.128.0.75:55974 - 2427 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000290365s
2022-05-24T20:33:10.994323447Z [INFO] 10.128.0.75:58050 - 40568 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000394177s
2022-05-24T20:37:16.302207972Z [INFO] 10.128.2.5:47044 - 20920 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000262688s
2022-05-24T20:37:53.877432505Z [INFO] 10.128.0.28:54397 - 22964 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000339378s
2022-05-24T20:37:56.598301022Z [INFO] 10.129.0.4:37086 - 23404 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00035815s
2022-05-24T20:39:21.683570096Z [INFO] 10.130.0.10:51628 - 26607 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000601455s
2022-05-24T20:39:25.583714987Z [INFO] 10.128.0.75:60873 - 44396 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000396186s
2022-05-24T20:40:21.720690869Z [INFO] 10.128.0.75:53787 - 11288 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000334346s
2022-05-24T20:40:23.033154421Z [INFO] 10.128.0.75:49554 - 31821 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000434952s
2022-05-24T20:42:53.670322406Z [INFO] 10.128.0.75:53819 - 40960 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000295517s
2022-05-24T20:45:29.738243377Z [INFO] 10.128.0.75:55318 - 14988 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000601907s
2022-05-24T20:45:31.105920037Z [INFO] 10.129.2.6:60426 - 46577 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000427472s
2022-05-24T20:46:52.314930361Z [INFO] 10.131.0.6:45842 - 59280 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000297932s
2022-05-24T20:47:52.379353725Z [INFO] 10.131.0.6:52491 - 40618 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000737821s
2022-05-24T20:47:57.267585222Z [INFO] 10.129.0.4:44108 - 18910 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000317277s
2022-05-24T20:51:49.918429278Z [INFO] 10.131.2.2:49419 - 14313 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000398233s
2022-05-24T20:52:15.608705278Z [INFO] 10.128.4.12:58509 - 28637 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000329304s
2022-05-24T20:52:49.982581146Z [INFO] 10.131.2.2:59109 - 43349 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000664585s
2022-05-24T20:53:50.021764366Z [INFO] 10.131.2.2:50057 - 15803 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000409109s
2022-05-24T20:55:16.016418171Z [INFO] 10.128.4.12:44283 - 58749 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000307431s
2022-05-24T20:56:25.153875841Z [INFO] 10.128.4.12:33137 - 39362 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00037212s
