2022-05-24T18:32:51.979052237Z I0524 18:32:51.978996       1 nodelink_controller.go:57] Adding providerID "aws:///us-east-1c/i-0ba86b5155afe6b3e" for node "ip-10-0-166-35.ec2.internal" to indexer
2022-05-24T18:32:57.873477183Z I0524 18:32:57.873434       1 nodelink_controller.go:91] Adding internal IP "10.0.169.205" for node "ip-10-0-169-205.ec2.internal" to indexer
2022-05-24T18:32:57.873477183Z I0524 18:32:57.873460       1 nodelink_controller.go:91] Adding internal IP "10.0.169.205" for node "ip-10-0-169-205.ec2.internal" to indexer
2022-05-24T18:32:57.873477183Z I0524 18:32:57.873468       1 nodelink_controller.go:57] Adding providerID "aws:///us-east-1c/i-04d13f279d76baf40" for node "ip-10-0-169-205.ec2.internal" to indexer
2022-05-24T18:32:57.873508930Z I0524 18:32:57.873474       1 nodelink_controller.go:57] Adding providerID "aws:///us-east-1c/i-04d13f279d76baf40" for node "ip-10-0-169-205.ec2.internal" to indexer
2022-05-24T18:33:11.736916940Z I0524 18:33:11.736864       1 nodelink_controller.go:57] Adding providerID "aws:///us-east-1c/i-0519d64ed97dab5cf" for node "ip-10-0-164-190.ec2.internal" to indexer
2022-05-24T18:33:11.736916940Z I0524 18:33:11.736900       1 nodelink_controller.go:57] Adding providerID "aws:///us-east-1c/i-0519d64ed97dab5cf" for node "ip-10-0-164-190.ec2.internal" to indexer
2022-05-24T18:33:11.736958750Z I0524 18:33:11.736916       1 nodelink_controller.go:91] Adding internal IP "10.0.164.190" for node "ip-10-0-164-190.ec2.internal" to indexer
2022-05-24T18:33:11.736958750Z I0524 18:33:11.736922       1 nodelink_controller.go:91] Adding internal IP "10.0.164.190" for node "ip-10-0-164-190.ec2.internal" to indexer
2022-05-24T18:33:21.602727771Z I0524 18:33:21.602686       1 nodelink_controller.go:57] Adding providerID "aws:///us-east-1b/i-0fd88aea8dcbaf37d" for node "ip-10-0-145-179.ec2.internal" to indexer
2022-05-24T18:33:21.602785576Z I0524 18:33:21.602773       1 nodelink_controller.go:57] Adding providerID "aws:///us-east-1b/i-0fd88aea8dcbaf37d" for node "ip-10-0-145-179.ec2.internal" to indexer
2022-05-24T18:33:21.602815057Z I0524 18:33:21.602805       1 nodelink_controller.go:91] Adding internal IP "10.0.145.179" for node "ip-10-0-145-179.ec2.internal" to indexer
2022-05-24T18:33:21.602856248Z I0524 18:33:21.602845       1 nodelink_controller.go:91] Adding internal IP "10.0.145.179" for node "ip-10-0-145-179.ec2.internal" to indexer
2022-05-24T18:33:34.598504376Z I0524 18:33:34.598449       1 nodelink_controller.go:57] Adding providerID "aws:///us-east-1a/i-04fabe28992eee3fb" for node "ip-10-0-138-197.ec2.internal" to indexer
2022-05-24T18:33:34.598504376Z I0524 18:33:34.598478       1 nodelink_controller.go:57] Adding providerID "aws:///us-east-1a/i-04fabe28992eee3fb" for node "ip-10-0-138-197.ec2.internal" to indexer
2022-05-24T18:33:34.598504376Z I0524 18:33:34.598487       1 nodelink_controller.go:91] Adding internal IP "10.0.138.197" for node "ip-10-0-138-197.ec2.internal" to indexer
2022-05-24T18:33:34.598504376Z I0524 18:33:34.598493       1 nodelink_controller.go:91] Adding internal IP "10.0.138.197" for node "ip-10-0-138-197.ec2.internal" to indexer
