2022-05-24T18:31:38.348306441Z [WARNING] plugin/kubernetes: starting server with unsynced Kubernetes API
2022-05-24T18:31:38.348726532Z .:5353
2022-05-24T18:31:38.348919493Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:31:38.348919493Z CoreDNS-1.8.7
2022-05-24T18:31:38.348919493Z linux/amd64, go1.17.5, 
2022-05-24T19:22:15.598814480Z [INFO] 10.128.0.75:49721 - 29026 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000356124s
2022-05-24T19:22:48.763522148Z [INFO] 10.128.0.28:60760 - 9162 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000438602s
2022-05-24T19:22:49.305876581Z [INFO] 10.128.4.12:55495 - 5453 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000251293s
2022-05-24T19:22:49.345321698Z [INFO] 10.128.4.12:51183 - 41619 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000247897s
2022-05-24T19:22:49.444210190Z [INFO] 10.128.4.12:54544 - 6000 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000305019s
2022-05-24T19:22:55.234976326Z [INFO] 10.128.0.1:1579 - 38677 "A IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000340932s
2022-05-24T19:23:48.214473962Z [INFO] 10.131.0.6:55375 - 33793 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000587029s
2022-05-24T19:23:51.842568045Z [INFO] 10.129.0.4:48565 - 32935 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000391114s
2022-05-24T19:23:54.618876085Z [INFO] 10.130.2.2:39865 - 42679 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.004339132s
2022-05-24T19:24:12.569190160Z [INFO] 10.128.2.5:44953 - 38141 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000339712s
2022-05-24T19:24:40.457323066Z [INFO] 10.128.4.12:32819 - 51679 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000706642s
2022-05-24T19:24:40.504678829Z [INFO] 10.128.4.12:34801 - 14004 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000297937s
2022-05-24T19:25:48.331960720Z [INFO] 10.131.0.6:35762 - 45467 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000307175s
2022-05-24T19:27:55.877771813Z [INFO] 10.128.4.12:57897 - 51473 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000292887s
2022-05-24T19:28:42.157932423Z [INFO] 10.128.4.12:48731 - 14922 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000316335s
2022-05-24T19:28:42.419482043Z [INFO] 10.128.4.12:47209 - 54504 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000369931s
