2022-05-24T18:40:08.722914421Z .:5353
2022-05-24T18:40:08.723012513Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:08.723022065Z CoreDNS-1.8.7
2022-05-24T18:40:08.723022065Z linux/amd64, go1.17.5, 
2022-05-24T20:27:55.907783380Z [INFO] 10.129.0.4:35360 - 3014 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000335128s
2022-05-24T20:27:58.491772823Z [INFO] 10.130.2.2:35647 - 10712 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000409285s
2022-05-24T20:28:35.305052828Z [INFO] 10.128.0.75:50252 - 58964 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000385247s
2022-05-24T20:29:30.340485969Z [INFO] 10.129.2.6:36407 - 9131 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00060192s
2022-05-24T20:29:30.964060312Z [INFO] 10.128.4.12:50425 - 38528 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000281448s
2022-05-24T20:30:29.804863455Z [INFO] 10.128.0.75:51262 - 23899 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000278266s
2022-05-24T20:30:51.480689136Z [INFO] 10.131.0.6:38573 - 44597 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00168146s
2022-05-24T20:33:04.269124766Z [INFO] 10.128.0.75:53624 - 39976 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000373817s
2022-05-24T20:33:04.663548705Z [INFO] 10.128.0.75:38945 - 47741 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000340373s
2022-05-24T20:33:07.510919615Z [INFO] 10.128.0.75:48987 - 14106 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000342406s
2022-05-24T20:33:16.070250142Z [INFO] 10.128.2.5:51645 - 26390 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000315865s
2022-05-24T20:33:21.484553964Z [INFO] 10.128.4.5:44782 - 26153 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000207065s
2022-05-24T20:34:30.544798673Z [INFO] 10.129.2.6:52112 - 41049 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000313935s
2022-05-24T20:35:30.558076094Z [INFO] 10.129.2.6:47672 - 41569 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000419295s
2022-05-24T20:35:48.110139238Z [INFO] 10.131.2.2:42206 - 53731 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000300242s
2022-05-24T20:35:51.765353824Z [INFO] 10.131.0.6:55731 - 15547 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000357403s
2022-05-24T20:40:21.802291153Z [INFO] 10.128.4.5:59210 - 65244 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000345612s
2022-05-24T20:42:48.675428537Z [INFO] 10.131.2.2:55916 - 44608 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000312379s
2022-05-24T20:43:48.879220551Z [INFO] 10.131.2.2:33987 - 34286 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000711466s
2022-05-24T20:43:52.206189341Z [INFO] 10.131.0.6:46002 - 51639 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000290319s
2022-05-24T20:48:22.314301351Z [INFO] 10.130.0.10:37609 - 16254 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000288384s
2022-05-24T20:49:49.856750522Z [INFO] 10.128.0.75:57620 - 12806 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000364557s
2022-05-24T20:51:57.522194654Z [INFO] 10.129.0.4:46144 - 17308 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000663908s
2022-05-24T20:52:15.608873332Z [INFO] 10.128.4.12:35426 - 15837 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00035759s
2022-05-24T20:53:54.981422798Z [INFO] 10.128.0.28:47836 - 61008 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000561456s
