2022-05-24T18:44:21.636900566Z .:5353
2022-05-24T18:44:21.637001734Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:44:21.637010502Z CoreDNS-1.8.7
2022-05-24T18:44:21.637010502Z linux/amd64, go1.17.5, 
2022-05-24T20:52:54.916014976Z [INFO] 10.128.0.28:51945 - 25814 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000302025s
2022-05-24T20:55:07.724600152Z [INFO] 10.128.0.75:35961 - 36886 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000285969s
2022-05-24T20:55:17.027248966Z [INFO] 10.128.2.5:52838 - 35382 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000293081s
2022-05-24T20:55:28.003702407Z [INFO] 10.128.0.75:44160 - 57076 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000295476s
2022-05-24T20:57:55.276793201Z [INFO] 10.128.0.28:37664 - 40392 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000342872s
2022-05-24T20:59:22.102010833Z [INFO] 10.128.0.75:41560 - 5383 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000561744s
2022-05-24T21:02:17.341862048Z [INFO] 10.128.2.5:40602 - 7886 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000283117s
2022-05-24T21:07:53.415773312Z [INFO] 10.131.0.6:60595 - 50538 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000578763s
2022-05-24T21:08:50.801684559Z [INFO] 10.131.2.2:52588 - 39364 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000248958s
2022-05-24T21:08:56.022522941Z [INFO] 10.128.0.28:46475 - 24082 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.003666485s
2022-05-24T21:10:47.019762145Z [INFO] 10.129.0.8:52460 - 33525 "A IN inputs7.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.00027085s
2022-05-24T21:11:35.776433531Z [INFO] 10.128.0.24:52587 - 41461 "A IN inputs10.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 82 false 512" NXDOMAIN qr,rd,ra 71 0.000354666s
