2022-05-24T18:36:06.461341167Z .:5353
2022-05-24T18:36:06.461572834Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:36:06.461572834Z CoreDNS-1.8.7
2022-05-24T18:36:06.461572834Z linux/amd64, go1.17.5, 
2022-05-24T19:34:28.549500216Z [INFO] 10.128.4.12:58992 - 18050 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000296583s
2022-05-24T19:34:48.812764956Z [INFO] 10.131.0.6:39161 - 16230 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000318434s
2022-05-24T19:38:15.081072068Z [INFO] 10.130.2.10:60373 - 44762 "A IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000388059s
2022-05-24T19:38:17.671251542Z [INFO] 10.130.0.10:34726 - 31055 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000242359s
2022-05-24T19:39:12.237746257Z [INFO] 10.129.2.4:37066 - 62707 "A IN inputs3.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000324968s
2022-05-24T19:39:55.426848810Z [INFO] 10.128.4.12:48909 - 42129 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00033778s
2022-05-24T19:41:17.855339438Z [INFO] 10.130.0.10:41005 - 9725 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000333604s
2022-05-24T19:45:13.514111172Z [INFO] 10.128.2.5:54349 - 17583 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000407793s
2022-05-24T19:46:03.407182042Z [INFO] 10.128.4.12:51583 - 57715 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000636494s
2022-05-24T19:46:09.292207564Z [INFO] 10.128.0.75:47617 - 14209 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000334591s
